sector,category,activity,units,type
1A1a_Electricity-public,combustion,Energy_Combustion,kt,comb
1A1a_Electricity-autoproducer,combustion,Energy_Combustion,kt,comb
1A1a_Heat-production,combustion,Energy_Combustion,kt,comb
1A2a_Ind-Comb-Iron-steel,combustion,Energy_Combustion,kt,comb
1A2b_Ind-Comb-Non-ferrous-metals,combustion,Energy_Combustion,kt,comb
1A2c_Ind-Comb-Chemicals,combustion,Energy_Combustion,kt,comb
1A2d_Ind-Comb-Pulp-paper,combustion,Energy_Combustion,kt,comb
1A2e_Ind-Comb-Food-tobacco,combustion,Energy_Combustion,kt,comb
1A2f_Ind-Comb-Non-metalic-minerals,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-Construction,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-transpequip,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-machinery,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-mining-quarying,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-wood-products,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-textile-leather,combustion,Energy_Combustion,kt,comb
1A2g_Ind-Comb-other,combustion,Energy_Combustion,kt,comb
1A3ai_International-aviation,combustion,Energy_Combustion,kt,comb
1A3aii_Domestic-aviation,combustion,Energy_Combustion,kt,comb
1A3b_Road,combustion,Energy_Combustion,kt,comb
1A3c_Rail,combustion,Energy_Combustion,kt,comb
1A3di_International-shipping,combustion,Energy_Combustion,kt,comb
1A3dii_Domestic-navigation,combustion,Energy_Combustion,kt,comb
1A3eii_Other-transp,combustion,Energy_Combustion,kt,comb
1A4a_Commercial-institutional,combustion,Energy_Combustion,kt,comb
1A4b_Residential,combustion,Energy_Combustion,kt,comb
1A4c_Agriculture-forestry-fishing,combustion,Energy_Combustion,kt,comb
1A5_Other-unspecified,combustion,Energy_Combustion,kt,comb
